Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W1,DSC_0679.NEF,-0.9960359103569068,-0.0047387379179124845,4488.88879577353,0.006984734686227916,-1.0043974643024753,2827.6767386215233,3.9354403746012195e-06,-9.204308043627699e-07,1.0
A&W1,DSC_0680.NEF,-0.9942178135512221,-0.0073700628360116585,4487.275926695648,0.007200459785616658,-1.0038559491214127,2825.1027656678752,4.113039754681183e-06,-1.8694770275109462e-06,1.0
A&W1,DSC_0681.NEF,-0.9960782498953334,-0.0038798661581777596,4486.418595858705,0.006324921262449325,-1.0030329761637973,2826.907908832005,3.182413015955179e-06,-2.35475183680773e-07,1.0
A&W1,DSC_0682.NEF,-0.9874699670911725,-0.011826793067671358,4458.652113762538,0.007869254157003834,-0.9934885470503556,2796.33625322816,2.0643257657987314e-06,-4.243171198360861e-06,1.0
A&W1,DSC_0683.NEF,-0.994008287745625,-0.007027870711334889,4486.907258163732,0.00774051055965305,-1.0053924739202802,2829.1242397392975,4.6438144103123196e-06,-2.0320761111193536e-06,0.9999999999999999
A&W1,DSC_0684.NEF,-0.9954249242071913,-0.005479115552310233,4485.396188765346,0.0063403229479213775,-1.001260231206817,2821.272029928087,2.8110458113155055e-06,-4.921757337303821e-07,1.0
A&W1,DSC_0685.NEF,-0.9961517189857917,-0.0045753369336177475,4486.713298730376,0.007992259449081785,-1.0040413997459143,2822.456629107914,3.2496367027909057e-06,-5.092247001636168e-07,1.0
A&W1,DSC_0686.NEF,-0.9969689362653705,-0.007194567696949418,4507.11795162172,0.012280213464412685,-1.0125715541862372,2838.713247997898,7.759463201792772e-06,-2.8108481520561854e-06,1.0
A&W1,DSC_0687.NEF,-0.9954012755251966,-0.006685917678862366,4491.981954823384,0.008833746683510106,-1.005299419850576,2823.8160006748512,4.593498840451018e-06,-1.4122455358548152e-06,1.0
A&W1,DSC_0688.NEF,-0.9929230643612678,-0.01022944157826663,4490.160247927055,0.009900895202143087,-1.0072788026797632,2827.077595760664,6.029186998357763e-06,-4.067821651694257e-06,1.0
A&W2,DSC_0719.NEF,-1.0025272259675886,0.0005851894253691275,4285.587545417457,0.0013329673822490085,-0.9972867739586804,3103.138182172939,-1.5125323733680266e-06,3.0861760257088623e-06,1.0
A&W2,DSC_0720.NEF,-1.0048429553086116,0.0017322859849526586,4293.973016940243,0.002529848100331783,-0.9999114570178351,3109.4123749057635,-5.796933960083065e-07,3.3070031378049177e-06,1.0
A&W2,DSC_0721.NEF,-1.011407057744752,0.004164528374800976,4318.009061418919,0.004585942785616185,-1.006060465365842,3119.1542759401264,8.093108741384538e-07,5.136570126398916e-06,1.0
A&W2,DSC_0722.NEF,-1.005693061823362,-0.0025467822154463,4305.573692336694,0.008705308957288336,-1.0009804894990706,3095.2133770854516,-1.2612977066563917e-07,2.935016566724835e-06,1.0
A&W2,DSC_0723.NEF,-1.0052344813958636,-0.0010954460122499113,4301.660960161563,0.00537977297556647,-1.0021495201478825,3114.6831142902784,8.632694928513402e-08,2.6791781162696177e-06,0.9999999999999999
A&W2,DSC_0724.NEF,-1.0063814241110518,0.0021397258592939757,4300.037324193292,0.004604557575810669,-0.996822925424759,3105.05226842704,-1.5398525435620815e-06,5.123275974492425e-06,1.0
A&W2,DSC_0725.NEF,-1.0005486536781627,-0.0017444599163309437,4279.075097707205,0.003480762313457001,-0.9954851872910092,3093.7819830530734,-2.244078452889454e-06,2.1428253929614606e-06,1.0
A&W2,DSC_0726.NEF,-1.0020693765405095,-0.0032606835145490088,4290.642770652845,0.004404756826660037,-0.9992587526479311,3105.9605328579855,-6.518629217089164e-07,1.4074753106867765e-06,0.9999999999999999
A&W2,DSC_0727.NEF,-1.0025207315731548,-0.0017636923084280451,4289.785153329473,0.0038419862611608967,-0.9951389455487528,3093.4344106176295,-2.0970434170988096e-06,3.4088592399100354e-06,1.0
A&W2,DSC_0728.NEF,-1.004209291869397,-0.00087870812611077,4296.616935551374,0.0052247432468657115,-0.9999072901179666,3106.009185669305,-6.277687933394813e-07,2.973839956177916e-06,1.0
A&W2,DSC_0729.NEF,-1.0055269176288322,0.0009288049586688253,4299.656941786819,0.004885904866692635,-0.9989428295019288,3107.1575238861487,-1.1033490064520416e-06,4.484987093269219e-06,1.0
